VALUES( 202376333 , 'Novartis' , 'Aclasta/Reclast (zoledronic acid)' , NULL , 1214 )
VALUES( 202358825 , 'Novartis' , 'Navoban (tropisetron)' , NULL , 1509 )
VALUES( 202324972 , 'Novartis' , 'Odomzo (sonidegib)' , NULL , 1535 )
VALUES( 202364852 , 'Novartis' , 'Ritalin (methylphenidate)' , NULL , 0636 )
VALUES( 202325852 , 'Novartis' , 'Sandimmune/Neoral (ciclosporin)' , NULL , 0411 )
VALUES( 202310843 , 'Novartis' , 'Sandostatin (octreotide)' , NULL , 1568 )
VALUES( 202322194 , 'Novartis' , 'Sertraline Sandoz (sertraline hydrochloride)' , NULL , 0481 )
VALUES( 202327479 , 'Novartis' , 'Signifor (pasireotide)' , NULL , 0620 )
VALUES( 202302042 , 'Novartis' , 'Simulect (basiliximab)' , NULL , 1823 )
VALUES( 202338040 , 'Novartis' , 'Sirdalud (tizanidine)' , NULL , 0352 )
VALUES( 202330043 , 'Novartis' , 'Spersallerg (antazoline/tetrahydrozoline)' , NULL , 1770 )
VALUES( 202327223 , 'Novartis' , 'Stalevo (carbidopa/levodopa/entacapone)' , NULL , 0763 )
VALUES( 202300821 , 'Novartis' , 'Tasigna (nilotinib)' , NULL , 0225 )
VALUES( 202329425 , 'Novartis' , 'Tegretol (carbamazepine)' , NULL , 1361 )
VALUES( 202319975 , 'Novartis' , 'Tekamlo (aliskiren/amlodipine)' , NULL , 1462 )
VALUES( 202339623 , 'Novartis' , 'Tekturna/Rasilez (aliskiren)' , NULL , 1345 )
VALUES( 202305290 , 'Novartis' , 'Termalgin (paracetamol)' , NULL , 0199 )
VALUES( 202380068 , 'Novartis' , 'Tobi (tobramycin)' , NULL , 0188 )
VALUES( 202398919 , 'Novartis' , 'Tofranil (imipramine)' , NULL , 0875 )
VALUES( 202359198 , 'Novartis' , 'Trileptal (oxcarbazepine)' , NULL , 0540 )
VALUES( 202301522 , 'Novartis' , 'Tyzeca/Sebivo (telbivudine)' , NULL , 018 )
VALUES( 202369541 , 'Novartis' , 'Visudyne (verteporfin)' , NULL , 0953 )
VALUES( 202304092 , 'Novartis' , 'Voltaren (diclofenac)' , NULL , 1171 )
VALUES( 202371152 , 'Novartis' , 'Zometa (zoledronic acid)' , NULL , 1576 )
VALUES( 202356168 , 'Novartis' , 'Xolair (omalizumab)' , NULL , 148 )
VALUES( 202373489 , 'Novartis' , 'Chronic idiopathic urticaria' , NULL , 1755 )
VALUES( 202350152 , 'Novartis' , 'Zaditen (ketotifen)' , NULL , 0436 )
VALUES( 202381814 , 'Novartis' , '' , NULL , 0758 )
