#If you recreated this, remember to remove the last ',' in the file
INSERT INTO STATE_DEPOSIT_OF_PHARMACEUTICALS(CITY, SDOP_RANGE, SDOP_CAPACITY, ADDRESS, SDOP_DILIVERY_TIME)VALUES( 
( 'Marousi ', '71', '37751', 'Kallidromiou 138', '12' ),
( 'Marousi ', '28', '48492', 'Kallidromou 113', '1' ),
( 'Marousi ', '12', '13766', 'Kallikratous 29', '13' ),
( 'Marousi ', '24', '81606', 'Kalliou 80', '1' ),
( 'Marousi ', '28', '24747', 'Kalpakiou 140', '1' ),
( 'Marousi ', '3', '49078', 'Kalubion, Leoforos 136', '4' ),
( 'Marousi ', '26', '91561', 'Kalumnou 114', '10' ),
( 'Marousi ', '30', '59967', 'Kanari Konstantinou 148', '6' ),
( 'Marousi ', '51', '2307', 'Kapodistria Ioanni 11', '11' ),
( 'Marousi ', '62', '30262', 'Karabou 109', '7' ),
( 'Marousi ', '5', '60033', 'Karagiannopoulou 60', '14' ),
( 'Agios Dimitrios ', '20', '46848', 'Karagiorga Saki 98', '5' ),
( 'Agios Dimitrios ', '48', '28693', 'Karathanasi Hr. 61', '5' ),
( 'Agios Dimitrios ', '65', '93985', 'Karatheodori 19', '7' ),
( 'Agios Dimitrios ', '67', '23757', 'Karamanli Konstantinou 67', '11' ),
( 'Agios Dimitrios ', '32', '49222', 'Karanasiou 140', '1' ),
( 'Agios Dimitrios ', '16', '1394', 'Karanastasi 113', '7' ),
( 'Agios Dimitrios ', '54', '91638', 'Karezi Tzenis 116', '12' ),
( 'Agios Dimitrios ', '7', '17616', 'Karlioti E. 74', '7' ),
( 'Agios Dimitrios ', '48', '8320', 'Karpathou 99', '8' ),
( 'Agios Dimitrios ', '21', '58780', 'Karuotaki Kosta 130', '14' ),
( 'Agios Dimitrios ', '24', '19382', 'Kasomouli 18', '7' ),
( 'Zografou ', '20', '82207', 'Kassandras 38', '14' ),
( 'Zografou ', '68', '60690', 'Kastorias 25', '2' ),
( 'Zografou ', '12', '74722', 'Katakouzinou 137', '12' ),
( 'Zografou ', '40', '22022', 'Katraki Manou 66', '10' ),
( 'Zografou ', '36', '34609', 'Katsantoni 46', '1' ),
( 'Zografou ', '53', '85348', 'Katsogiannou 73', '7' ),
( 'Zografou ', '6', '13781', 'Kapsali B. 58', '11' ),
( 'Zografou ', '15', '3955', 'Kerkuras 40', '1' ),
( 'Zografou ', '41', '38973', 'Kefallinias 52', '3' ),
( 'Zografou ', '71', '88055', 'Kiafa 86', '9' ),
( 'Zografou ', '6', '62459', 'Kiafas 13', '9' ),
( 'Egaleo ', '45', '24778', 'Kithaironos 88', '6' ),
( 'Egaleo ', '26', '22684', 'Kilkis 75', '14' ),
( 'Egaleo ', '77', '14073', 'Kimonos 124', '11' ),
( 'Egaleo ', '72', '42020', 'Kirkis 131', '11' ),
( 'Egaleo ', '15', '5776', 'Kissabou 9', '2' ),
( 'Egaleo ', '78', '10294', 'Klara Mpampi 139', '3' ),
( 'Egaleo ', '19', '62116', 'Knosou 145', '10' ),
( 'Egaleo ', '17', '27402', 'Kokkalaki 35', '3' ),
( 'Egaleo ', '35', '50113', 'Kokkinou Ilia 64', '12' ),
( 'Egaleo ', '61', '78711', 'Kolokotroni 68', '5' ),
( 'Egaleo ', '43', '50012', 'Kolokutha 51', '13' ),
( 'Ioannina ', '29', '37236', 'Komna Traka 43', '9' ),
( 'Ioannina ', '30', '13614', 'Kontopoulou 20', '13' ),
( 'Ioannina ', '39', '73276', 'Korai 31', '3' ),
( 'Ioannina ', '75', '9492', 'Korinthou 70', '13' ),
( 'Ioannina ', '4', '48520', 'Kornarou 82', '9' ),
( 'Ioannina ', '77', '47672', 'Korushadon 130', '11' ),
( 'Ioannina ', '77', '57786', 'Korutsas 57', '1' ),
( 'Ioannina ', '31', '30173', 'Kosma THesprotou 92', '5' ),
( 'Ioannina ', '29', '68401', 'Kosma tou Aitolou 75', '11' ),
( 'Ioannina ', '50', '73017', 'Kotzia 88', '14' ),
( 'Ioannina ', '55', '16620', 'Kotopouli 25', '2' ),
( 'Palaio Faliro ', '73', '99498', 'Koudounakou 116', '3' ),
( 'Palaio Faliro ', '79', '85653', 'Kounoupi Ap. 124', '10' ),
( 'Palaio Faliro ', '5', '47507', 'Kountouriotou 143', '1' ),
( 'Palaio Faliro ', '31', '57793', 'Koufokosta 118', '2' ),
( 'Palaio Faliro ', '3', '29692', 'Krabaritou 46', '14' ),
( 'Palaio Faliro ', '37', '50470', 'Kritis 102', '9' ),
( 'Palaio Faliro ', '49', '1172', 'Kritsa 46', '9' ),
( 'Palaio Faliro ', '39', '37940', 'Krustalli 46', '2' ),
( 'Palaio Faliro ', '33', '79563', 'Krustallopigis 118', '7' ),
( 'Palaio Faliro ', '61', '60468', 'Ktimenis 76', '2' ),
( 'Palaio Faliro ', '42', '89734', 'Kuthiron 44', '14' ),
( 'Korydallos ', '36', '68153', 'Kuthnou 40', '4' ),
( 'Korydallos ', '41', '17791', 'Kullinis 142', '7' ),
( 'Korydallos ', '18', '93702', 'Kuprou 7', '7' ),
( 'Korydallos ', '38', '98526', 'Konstantinoupoleos 109', '4' ),
( 'Korydallos ', '23', '50612', 'Lagkada 45', '1' ),
( 'Korydallos ', '2', '43843', 'Lazaridi 106', '11' ),
( 'Korydallos ', '34', '55517', 'Lazou THemistokli 72', '8' ),
( 'Korydallos ', '6', '60056', 'Lamias - Karpenisiou 23', '4' ),
( 'Korydallos ', '50', '10906', 'Lampeti Ellis 130', '14' ),
( 'Korydallos ', '70', '73313', 'Lamprou G. 75', '10' ),
( 'Korydallos ', '24', '69179', 'Larisis 109', '8' ),
( 'Trikala ', '33', '89539', 'Laskaratou 146', '4' ),
( 'Trikala ', '62', '89874', 'Laskari 116', '1' ),
( 'Trikala ', '44', '4780', 'Lassani 65', '10' ),
( 'Trikala ', '1', '80561', 'Lahana 42', '4' ),
( 'Trikala ', '41', '79311', 'Lebadeias 63', '7' ),
( 'Trikala ', '17', '44812', 'Leibaditou 64', '12' ),
( 'Trikala ', '4', '5960', 'Lerou 53', '2' ),
( 'Trikala ', '59', '47292', 'Lesbou 145', '3' ),
( 'Trikala ', '20', '9544', 'Leukaditi K. 147', '14' ),
( 'Trikala ', '27', '31233', 'Leukados 146', '2' ),
( 'Trikala ', '14', '77334', 'Leonida 73', '12' ),
( 'Galatsi ', '2', '42312', 'Leoforos Dimokratias 82', '8' ),
( 'Galatsi ', '72', '97647', 'Leoforos Eleutherias 95', '4' ),
( 'Galatsi ', '61', '24144', 'Leoforos Kalubion 3', '5' ),
( 'Galatsi ', '68', '45941', 'Lidas 54', '9' ),
( 'Galatsi ', '44', '75245', 'Lidras 122', '4' ),
( 'Galatsi ', '45', '83244', 'Limnou 16', '6' ),
( 'Galatsi ', '10', '56702', 'Lokridos 135', '11' ),
( 'Galatsi ', '73', '47668', 'Lountemi Menelaou 84', '9' ),
( 'Galatsi ', '41', '61708', 'Lukourgou 91', '10' ),
( 'Galatsi ', '29', '24420', 'Lusandrou 73', '8' ),
( 'Galatsi ', '25', '6514', 'Lusikratous 3', '13' ),
( 'Agrinio ', '68', '97023', 'Lusiou 22', '2' ),
( 'Agrinio ', '61', '66498', 'Mabili 77', '1' ),
( 'Agrinio ', '68', '43576', 'Makedonias 73', '6' ),
( 'Agrinio ', '51', '55580', 'Makropoulou Petrou 2', '14' ),
( 'Agrinio ', '57', '7711', 'Makrugianni 92', '10' ),
( 'Agrinio ', '50', '92817', 'Malamida 35', '13' ),
( 'Agrinio ', '50', '17001', 'Maloukou 137', '13' ),
( 'Agrinio ', '17', '8378', 'Mandilara 150', '11' ),
( 'Agrinio ', '60', '75392', 'Manolidou 135', '12' ),
( 'Agrinio ', '28', '94519', 'Manolopoulou 43', '8' ),
( 'Agrinio ', '38', '18586', 'Marathonos 85', '11' ),
( 'Chalcis ', '31', '58221', 'Martinegkou E. 129', '14' ),
( 'Chalcis ', '79', '26117', 'Mastrantoni 26', '13' ),
( 'Chalcis ', '66', '25152', 'Matzarou 49', '6' ),
( 'Chalcis ', '48', '26732', 'Matsouka Spurou 141', '10' ),
( 'Chalcis ', '79', '69182', 'Maurodimou 136', '1' ),
( 'Chalcis ', '28', '17743', 'Megalou Aleksandrou 108', '14' ),
( 'Chalcis ', '5', '82165', 'Mela Spurou 136', '2' ),
( 'Chalcis ', '65', '93770', 'Menelaou 136', '8' ),
( 'Chalcis ', '58', '68476', 'Merkouri Melinas 142', '3' ),
( 'Chalcis ', '20', '76165', 'Mesologgiou 77', '4' ),
( 'Chalcis ', '68', '38180', 'Metaksa Ioanni 50', '9' ),
( 'Petroupoli ', '9', '20518', 'Meteoron 146', '12' ),
( 'Petroupoli ', '73', '87511', 'Metsobou 86', '1' ),
( 'Petroupoli ', '33', '47059', 'Mitropoliti Ambrosiou 57', '5' ),
( 'Petroupoli ', '43', '70032', 'Mitropoliti Damaskinou 20', '6' ),
( 'Petroupoli ', '44', '81198', 'Miaouli 29', '8' ),
( 'Petroupoli ', '37', '29695', 'Migka Hr. 73', '9' ),
( 'Petroupoli ', '34', '6965', 'Miltiadou 140', '5' ),
( 'Petroupoli ', '42', '76707', 'Minoos 48', '2' ),
( 'Petroupoli ', '46', '48561', 'Moshou Hr. 78', '6' ),
( 'Petroupoli ', '68', '37509', 'Moustaki 124', '11' ),
( 'Petroupoli ', '18', '77439', 'Moustakli Spurou 99', '11' ),
( 'Serres ', '53', '53983', 'Mpakogianni Paulou 69', '4' ),
( 'Serres ', '60', '54870', 'Mpellou 144', '5' ),
( 'Serres ', '8', '79432', 'Mpelogianni Nikou 8', '5' ),
( 'Serres ', '14', '35589', 'Mpizaniou 21', '13' ),
( 'Serres ', '5', '5737', 'Mpitsola Ath. 55', '8' ),
( 'Serres ', '66', '5753', 'Mpotsari Markou 3', '2' ),
( 'Serres ', '35', '40608', 'Mpoukiou 130', '8' ),
( 'Serres ', '76', '73045', 'Mpoukoubala 91', '5' ),
( 'Serres ', '62', '32791', 'Mpoumpoulinas 64', '4' ),
( 'Serres ', '11', '4987', 'Mpoufi 100', '10' ),
( 'Serres ', '55', '66532', 'Mukinon 140', '9' ),
( 'Drama ', '7', '98661', 'Mukonou 96', '13' ),
( 'Drama ', '57', '89145', 'Mulon 32', '10' ),
( 'Drama ', '59', '94303', 'Mulona D. 48', '1' ),
( 'Drama ', '27', '25872', 'Muribili Strati 108', '14' ),
( 'Drama ', '25', '35929', 'Murmidonon 37', '11' ),
( 'Drama ', '10', '37200', 'Mutilinis 29', '3' ),
( 'Drama ', '54', '61677', 'Naksou 83', '4' ),
( 'Drama ', '58', '3962', 'Nauarinou 90', '7' ),
( 'Drama ', '47', '80798', 'Naupaktou 98', '10' ),
( 'Drama ', '68', '23959', 'Naupliou 23', '11' ),
( 'Drama ', '23', '66677', 'Nefelis 22', '9' ),
( 'Alexandroupoli ', '72', '86616', 'Nisou Ro 115', '12' ),
( 'Alexandroupoli ', '64', '95284', 'Nikolopanou 17', '2' ),
( 'Alexandroupoli ', '78', '77057', 'Nikopoleos 112', '10' ),
( 'Alexandroupoli ', '32', '94467', 'Nikou THanou 133', '3' ),
( 'Alexandroupoli ', '66', '16028', 'Nirbana 3', '9' ),
( 'Alexandroupoli ', '76', '6367', 'Nitsa TH. 2', '4' ),
( 'Alexandroupoli ', '26', '43226', 'Notara 40', '4' ),
( 'Alexandroupoli ', '60', '58125', 'Ntesimone 54', '12' ),
( 'Alexandroupoli ', '69', '14566', 'KSanthou 98', '6' ),
( 'Alexandroupoli ', '62', '57784', 'KSenofontos 43', '3' ),
( 'Alexandroupoli ', '41', '87602', 'Odissou 18', '14' ),
( 'Xanthi ', '36', '68145', 'Othonos 32', '6' ),
( 'Xanthi ', '45', '6645', 'Oidipodos 97', '7' ),
( 'Xanthi ', '18', '56754', 'Oinofuton 129', '10' ),
( 'Xanthi ', '28', '66190', 'Oitis 142', '2' ),
( 'Xanthi ', '20', '24167', 'Olumpioniki Loui Spurou 4', '13' ),
( 'Xanthi ', '50', '48162', 'Olumpionikon 133', '3' ),
( 'Xanthi ', '31', '72183', 'Olumpou 65', '13' ),
( 'Xanthi ', '9', '85492', 'Omirou 36', '9' ),
( 'Xanthi ', '5', '11311', 'Orlandou 97', '7' ),
( 'Xanthi ', '57', '29246', 'Orfeos 145', '10' ),
( 'Xanthi ', '33', '91812', 'Osiou Athanasiou tou Meteoritou 137', '13' ),
( 'Katerini ', '27', '29458', 'Osiou Dauid 89', '6' ),
( 'Katerini ', '54', '58767', 'Osiou Serafeim 125', '10' ),
( 'Katerini ', '18', '3528', 'Ouranou Nikiforou 60', '8' ),
( 'Katerini ', '27', '3944', 'Palaiologou Konstantinou 86', '2' ),
( 'Katerini ', '80', '58264', 'Palama Kosti 129', '8' ),
( 'Katerini ', '63', '45033', 'Panagias Despoinis 150', '6' ),
( 'Katerini ', '8', '38661', 'Panagiotopoulou 48', '11' ),
( 'Katerini ', '80', '83562', 'Panagouli Alekou 142', '3' ),
( 'Katerini ', '51', '31213', 'Panaitolikou 37', '10' ),
( 'Katerini ', '13', '4313', 'Pandoras 92', '8' ),
( 'Katerini ', '65', '69364', 'Panourgia 27', '5' ),
( 'Kalamata ', '36', '38282', 'Papabasileiou 101', '8' ),
